Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2021-07-29,2021,Tatva Chintan,500.0,9.5,1083.0,2111.8,2310.25,113.32,109.46,Winner
2021-07-23,2021,Zomato,9375.0,38.25,76.0,115.0,125.85,65.59,75.46,Winner
2021-07-19,2021,Clean Science,1546.0,93.41,900.0,1784.4,1585.2,76.13,86.98,Winner
2021-07-19,2021,G R Infra,963.28,43.48,837.0,1700.0,1746.8,108.7,106.79,Winner
2021-07-07,2021,India Pesticide,800.0,3.25,296.0,360.0,335.45,13.33,13.99,Winner
2021-07-05,2021,Krishna Inst.,2146.0,3.86,825.0,1009.0,1096.8,32.95,46.25,Winner
2021-06-28,2021,Dodla Dairy,521.0,45.62,428.0,550.0,609.1,42.31,44.28,Winner
2021-06-24,2021,Shyam Metalics,909.0,56.56,306.0,380.0,375.85,22.83,42.52,Winner
2021-06-24,2021,Sona BLW,5550.0,1.04,291.0,302.4,362.85,24.69,50.82,Winner
2021-05-14,2021,PowerGrid InvIT,7734.99,0.0,100.0,104.0,102.98,2.98,19.0,Winner
2021-04-19,2021,Macrotech Dev,2500.0,1.36,486.0,439.0,463.15,-4.7,75.61,Loser
2021-04-07,2021,Barbeque Nat,453.6,0.0,500.0,492.0,590.4,18.08,75.74,Winner
2021-03-30,2021,Nazara,582.91,75.04,1101.0,1971.0,1576.8,43.22,68.03,Winner
2021-03-26,2021,Suryoday Small,582.34,2.37,305.0,274.75,276.2,-9.44,-33.3,Loser
2021-03-26,2021,Kalyan Jeweller,1175.0,1.28,87.0,73.9,75.3,-13.45,-18.51,Loser
2021-03-25,2021,Laxmi Organic,600.0,2.68,130.0,173.0,164.6,26.62,101.19,Winner
2021-03-25,2021,Craftsman,823.7,0.69,1490.0,1440.0,1433.0,-3.83,34.35,Loser
2021-03-24,2021,Anupam Rasayan,760.0,23.86,555.0,534.7,525.9,-5.24,30.29,Loser
2021-03-19,2021,Easy Trip,510.0,3.39,187.0,182.0,208.3,11.39,118.64,Winner
2021-03-15,2021,MTAR Tech,596.41,133.18,575.0,990.05,1082.25,88.22,150.23,Winner
2021-03-05,2021,Heranba,60.0,33.13,627.0,900.0,812.25,29.55,29.21,Winner
2021-02-26,2021,Railtel,819.24,20.68,94.0,109.0,121.4,29.15,47.87,Winner
2021-02-25,2021,Nureca,100.0,17.98,400.0,634.95,666.65,66.66,332.09,Winner
